Erfolg,success
Himmel,sky
Einklang,harmony
Tisch,table
Bedarf,need
Hemmschuh,hindrance
Beamte/ein,official
Ruhestand,retirement
Vorruhestand,early
Abschied,farewell
Ausstand,strike
Abgang,departure
Boden,ground
Gipfel,summit
Einfluss,influence
Einmarsch,invasion
Verlust,loss
Wortschatz,vocabulary
Satz,sentence
Schnitt,average
Speicher,memory
Anfänger,beginner
Zweifel,doubt
Draht,wire
Verstoß,violation
Übergang,transition
Nachdruck,Eindringlichkeit]
Nachdruck,reprint
Ausbruch,outbreak
Bezug,reference
Streit,dispute
Vertreter,representative
Geschäftsführer,managing
Korb,basket
Überblick,overview
Atem,breath
Überschuss,surplus
Hüter,guardian
Wahlkampf,election
Blick,view
Rat,council
Rat,advice
Nachmittag,afternoon
Ausspruch,remark;
Rohstoff,raw
Beitritt,accession
Gegner,opponent
Gegenschlag,reaction
Flächenbrand,wildfire
Widerstand,resistance
Haushalt,budget
Stachel,sting
Zwischenfall,incident
Notruf,emergency
Zuschuss,grant
Zusatz,Zusatzstoffe])
Betrag,amount
Nörgler,grumbler;
Vorbehalt,provision
Zugang,access
Treibstoff,fuel
Graben,rift
Aufwand,expenditure
Ministerpräsident,Prime
Auftrag,order
Verbraucher,consumer
Schub,thrust
Betreiber,operator
Drang,urge
Auftakt,prelude
Sünder,sinner
Gewinn,profit
Zocker,gambler
Händler,dealer
Auszug,summary
Beleg,document;
Ordner,folder
Anschein,appearance
Staatsanwalt,public
Vermerk,note
Zusammenhalt,cohesion
Versuch,attempt
Herd,epicenter
Schlüssel,key
Angestellte/ein,employee
Lohn,salary
Nachteil,drawback
Wettbewerb,competition
Verdienst,earnings
Wert,value
Durchschnitt,average
Sohn,son
Sprössling,offspring
Faden,string;
Ausgangspunkt,starting
Krimi,thriller
Glücksritter,adventurer
Ausgang,outcome
Fehlschlag,failure
Täter,offender
Vorort,suburb
Steuerhinterzieher,tax
Wandel,change
Ankauf,purchase
Koffer,suitcase
Ausdruck,expression
Osten,east
Hubschrauber,helicopter
Rand,edge
Sonnabend,Saturday
Dichter,poet
Zusammenstoß,clash
Müll,garbage
Kämpfer,fighter
